"x"
"Avenida Prof. Celso Ferreira da Silva, 1400 "
"Av. Leonardo Vilas Boas, 2884 "
"R. Ângelo Simoneti, 450 "
"R. Amando de Barros, 1205 "
"Av. Dep. Dante Delmanto, 2782 "
"R. Emílio Cani, 899 "
"R. Cel. Fonseca, 444 "
"R. Francisco Figueira, 498 "
"R. Caetano Vidoto, 109 "
"R. José Michelin, 90 "
"Rua Lourenço Carmello, 808 "
"Av. Joaquim Amaral Amando de Barros, 1064 "
"R. Floriano Simões, 239 "
"R. Joaquim García, 101 "
"Av. Prof. Rafael Laurindo, 703 "
"Av. Mal. Floriano Peixoto, 575 "
"R. Joaquim Garcia 197 - Lot "
"R. Cel. Joaquim Leandro de Oliveira, 370 "
"R. Fausto Líra Brandão, 45 "
"Av. Santana, 418"
"R. Carlos Bauer Filho, 324 "
"Rua Olávo Bilac, 150 "
"R. Benedito Rodrigues da Silva, 94 "
"R. João Modesto, 45 "
"Rua Floriano Simões, 239 "
"R. Francisco Dellevedove Neto, Caimâ Esquina com Luiz Casteleti Residencial "
"R. Antônio Madureira, 466 "
"Av. Joaquim Amaral Amando de Barros, 3311"
"Av. Floriano Peixoto, 575 "
"Rua Fausto Líra Brandão, 45 "
"Rua Sete De Setembro, 900 "
"R. Emílio Cani, 899"
"Av. Dr. Jaime de Almeida Pinto, 990 "
